Comment,Label
Nhân cách của ông này đéo bằng bãi cát dưới chân t .,1
Cái ông già đó làm thầy giáo làm gì nữa cho ổng đi luôn đi tôi dạy cho ông không kiếm được việc làm gì khác nữa đâu nghèo chết luôn cũng được nghĩ sao mưa lớn mà đeo tai nghe vào giảm bớt mưa không bị khùng hả mưa lớn đeo tai nghe cũng vậy à,0
thầy dì mà kì vậy,0
Thầy giáo mất dậy,2
Có tài mà không có đức cũng như không,1
Thầy giáo nói đúng mà. Nhưng mà....hành xử như 1 đứa con nít và không có đạo đức. Chuyện cắt bớt clip hay không cắt bớt thì cách nói chuyện 1 ít vậy mọi người thấy rõ rồi. Chứ nghe cả buổi chắc cho ổng lên báo,0
Thầy như cái đầu bui,1
Lớp tui cũng vậy mỗi lần nghe không rõ hỏi lại bị chửi,1
Thầy giáo vì không có đạo đức,2
"không dạy được cho đàng hoàng thì nghỉ việc con mẹ nó đi cho khỏi mệt , giảng bài không nghe rõ thì giảng lại có chút xíu thôi mà cũng vậy thì dạy làm gì??",0
"Ksao ksao, không có lỗi gì cả, thầy làm thế, chơi bời kìa",1
Ông thầy như cccc hahah,1
Kim jong un đã có mặt tại Việt Nam,1
Là thầy giáo kiểu gì mà nói năng ngộ vậy ? Có suy nghĩ trước khi nói không đấy ?,0
Ông thầy coi chựng tui đó bình thường ông đâu tui đốt nhà ông chôm ông xuống dưới đất,0
Ngày xưa ông đồ dạy được là có cả tài lẫn đức bây giờ có mấy ông bà tốt nghiệp đi dạy chả ra gì không tài không đức mà vẫn dạy được đúng thật là đời,0
Đuổi thầy giáo ra khỏi trường,1
"Mình cũng đang đi dạy. 
Rất coi thường loại GV như này, rất ảo quyền lực. 
Học sinh hỏi bài là rất đáng quý, là gv mà gắt gỏng là yếu kém về mặt sư phạm.",0
thầy giáo vô đạo đức mà cũng đòi dạy,0
đúng,0
Nói được làm được nha ku,1
thầy kiểu gì vậy,0
(^^),1
Ủa giảng lại để tiếp thu kiến thức chứ sao,1
thấy giáo có tri thức mà chẳng có đạo đức gì cả,1
Có ăn học nhưng lời nói không băng môt người nông dân,1
Má nó mắt dạy người ta đống tiền cho máy đứa nhỉ đi học mà không cho thằng nhỏ học,1
Ông thầy đó mặc váy kìa,1
Thầy giáo không biết học online,2
"Từ từ, chúng ta không biết trước đó như thế nào. Chúng đa đang phán đoán dựa trên 1 đoạn video cắt lởm khởm. Điều này rất có thể là do bạn nam sinh kia cố tính cắt ghép, hòng đóng vai nạn nhân.",0
Có tài mà không có đức làm gì cũng vô dụng,0
Trực xúc ông thầy chóooooo,0
????????????,1
Khoa Điện _Điện Tử mà gặp mưa nữa nên thông cảm chút,0
iu anh này quá thầy gì mà láo hế,0
