Comment,Label
Mong sau phụ huynh cân nhất cho con em vào trường đại học,1
ủa bình thg thầy kêu không bình thường thì kêu thầy giảng lại được mak,1
Chac het mua dich nay chac thay ve nha ban vit luon wa,2
thay giao khung ha,0
Da day hoc o nha day co gi dau khon nan voi hoc sinh vay moi chiu,0
Vậy học sinh hay sinh viên nào dám hỏi giáo viên giảng lại,0
@thaocindyofficial5745  đúng vậy á cô giáo văn lớp mink chỉ không thuộc bài thôi là nằm ra đất lĩnh 10 đến 20 gậy,1
Thầy giáo giờ sau hỗ báo qúa,0
Thầy giáo học lại lớp 1 đi,0
toi anh do quá,0
giáo viên lúc nào cũng kiểu : các em có gì không hiểu thì hỏi lại nha ?,1
Mong nha truong chuc suc nhung nguoi thay nhu vay ra khoi su mon dum mot cai cho ien nha loi nuoc 0 ke,0
"Sinh viên lấy tiền để học phẩm chất tính cách tốt đẹp từ thầy cô nhưng đã sai mong ,thầy chuyển ngành khác",1
Hoc sinh co hoc. Thay giao nay mat day,0
@trungvoinh7409   so sánh Trung Võ Đình âm binh cô hồn với Tuyền 2 Cc âm binh cô hồn là m đó cô hồn âm binh biết dùng dt đó,1
Nghe ma bức xúc vậy troi,0
Tưởng mình có nhiều kiến thức mà chữ họa sinh,0
hồi học cấp ba có nhiều thầy cô còn làm gắt hơn vậy nữa nhưng ra lớp học cái đồ thầy trò lại bá vai nhau,2
"Hồi xưa học xong ra trường học sinh lúc nào cũng nhớ về thầy cô, bây giờ học xong gặp thầy cô ngoài đường chẳng muốn chào coi như không biết, không có học sinh học thì họ chẳng có lương",1
Cô giáo t vẫn giảng lại bình thường,1
Thấy giao ở đâu vậy các phụ huynh,0
Chuyển qua lớp thầy lộc gấp,1
"Thầy giáo đóng phim gia đình cục súc , chưa xả hết vai",0
@Ly Nhạt Vc !,0
ờ máy dinh. gút chớp thầy. thầy là nhất thầy nhớ,2
"Phải tôi, tôi kỷ niệm 1 bên pha",2
Thầy có mong muốn qua lớp thầy Lộc Fuho không ạ...?,2
Tin 3 phút nhưng lại chiếu đến 4 phút,1
Đúng tuyệt vời,2
Học biết chữ biết nhân chia cộng trừ. Rồi nghĩ ra đời sớm sau này 60 đến 70 phần trăm các bạn được làm chủ. Bỏ thời gian 12 năm. Bạn di hoc năm 13. Hỏi lại chắc gì bạn nhớ,0
Em chào Thầy . Thầy thiểu não ?,0
"lại bao che nhau mà,",0
"Hay, hảo hán",2
@hokbitbanoau3504  Ông thầy nghĩ trong đầu :mẹ c,0
Học offline xong đê học online vĩnh viễn,1
@lienhoaphongtruongthptnguy9758  thì bọn tui cux có bảo thầy cô như nào đâu,1
Thầy âm bjnh kg được bình thường,0
Hảo thầy yêu mến,2
Giống tiếng thầy Quang quá,1
Ai đóng học phí để trả tiền cho ông thày này . Ko lẽ lại bao che cho nhau,0
Trùm bao bố đập 1 trận thấy mẹ,0
CÔ EM HIỀN LÉM CÔ CHỈ  NHẮC NHỞ THUI  CÔ CÒN LÀM BÁNH CHO CÁC BẠN CƠ TRONG LỚP HỌC THÊM  CÒN LÀM BÁNH CHO BỌN EM,1
Thay mat em de day roi,0
Toi thich ong thay nay qua cho toi gap de bat tai vai cai  an luong nha nuoc ma luong tam o dau vay neu kg co hoc sinh thi lieu co dung tren but giang hay kg,2
"Top 10 thầy giáo xv nhất 
Top 1:",0
"Thầy cô trường tôi,khi mưa không nghe rõ thầy cô còn hỏi các em nghe rõ thầy cô nói không nếu không thì để thầy cô nói lớn hơn để các em nghe,có vấn đề gì nói với thầy cô liền để thầy cô giải quyết không thôi ảnh hưởng đến bài học của các em",1
Học xong ra trường thầy với Em thân hơn anh Em. Thầy này dễ ra ăn lol lắm,0
"Năm lớp 2 mình học ở lớp , sai có 1 từ . Thế mà cô cầm cái thước gỗ dày tầm 4cm đánh vào mông mình đến nỗi tím . Sau đó mẹ mình bình thường , mẹ mình nói chuyện với cô "" cô không cẩn thận thì tôi cho về đuổi gà đấy "" sau đó mẹ mình đi về . Đến nay mình 14 tuổi mà mình vẫn nhớ",0
Thầy giáo hay giang hồ vậy cạn lời,0
Xin hãy bảo vệ sinh viên chúng tôi,0
