Comment,Label
Kêu công an,1
Qua chuan,1
Thây nay cho ve vùong đuoc rôi,0
"Tôi NGUYỄN VĂN AN xin chịu lời nguyền của ( tên ai đó)
Cho ai muốn tên phim 
Bad luck
6 mùa dài thấy mụ hay vl",1
Là thầy mình phải ăn nói có văn hóa để các em tôn trọng mình,1
thây em không có v,1
"Tôi…có đủ… và có một cánh tay rất khỏe , đầu tay có một nắm đấm nữa- thưa thầy!",0
Gặp em đình chỉ đuổi việc khỏi dạy,0
Nếu mình là học sinh trong lớp đó thì mình sẽ tắt can mic và ra khỏi phòng luôn,0
học online ngày nào mạng yếu coi như xong,1
Người thầy tốt bụng,2
Giảng giây  hay giảng viên,1
10 điểm không có nhưng,0
Thầy là nhất,2
thực sự mình nghĩ thầy cũng gặp nhiều TH học online giả vờ rồi nên không tin em mình hồi trc hc chs liên quân xong còn bật tiếng mưa rơi lên lừa thầy cô,1
Đúng tri thức thì đáng tôn trọng nhưng đúng người đúng nhân cách,1
Riêng thầy là không bình thường thôi. Hách dịch.,0
"trường mình luôn , cũng khoa lun, mình cũng từng học thầy này tuy trong lớp có khắt khe nhưng thầy rất có tâm, giảng hay nữa. Thầy làm vậy chỉ để học sinh tập trung hơn, vì buổi học online nên mình nghĩ thầy cũng biết sinh viên sẽ xem lại video thôi. Các bạn hiểu dùm thầy nhé. :>",1
Hay,2
Hay,2
Hay,2
Hay!!!!!!,2
hay,2
Vần hay,2
Hay,2
10đ hay,2
It'sao true that the shoveling teacher bumped into me and I cursed him for being a shovel that is both a dog and an animal,1
3 phút thành 4 phút,1
"Như tôi, tôi đấm cho mấy phát",0
Gặp tôi là tôi  là  tôi đá chết ổng r,0
"@weronajona7278  Đọc kĩ bình luận , và hình mặc cười kèm theo phía sau trước khi sân nha bạn! Mình chỉ bình luận vui thôi, vì đây không phải chổ để lên sân si hay phán xét một ai ,  nếu như mình không biết gì về họ, cảm ơn",1
Mong nhà trường kỷ luật thầy này,0
"Đừng nghĩ Học cao hiểu rộng là người sủ lý tốt. người ta chỉ học hết lớp 3,mà biết cách sử lý tốt hơn",0
Lớp mấy các bạn,1
Hay nhất trong ngày,2
ê coi chừng nha,1
Eee hơi bứt công à nha khổ thân,1
"@miku5248  uh, tui đang học thầy Lộc nè",1
học thầy lộc fuho sướng gấp 10,1
Gặp tôi tôi đấm cho mấy phát,0
Một ngàn thầy chỉ có Một thằng này thôi các bạn ạ. Tôi là GV đây,0
Tu bao chua,0
Tưởng cô mình dữ,1
Thua thầy lộc....,1
Hay quá,2
Quá  hay,2
Yêu cầu đuôi việc gấp,2
Chưa bao giờ thấy thầy giáo như này luôn,2
Đúng chuẩn tuyệt vời,2
đúng hay hay,2
