Comment,Label
Đúng đúng,
Đúng,2
Đúng,2
Đúng,2
Đúng,2
Đúng,2
@master.....9176   đúng á,2
đúng,2
Đúng,2
Đúng  （＾ω＾）,2
Đúng,2
đúng!!!,2
đúng,2
đúng,2
đúng,2
ĐÚNG ĐÚNG,2
đúng,2
Đúng,2
Đúng,2
Phi le hoang đúng,2
Đúng r,2
Đúng,2
đúng v :((,2
Đúng,2
đúng,2
Đúng đúng,2
Đúng,2
Đúng,2
Đúng,2
ĐÚNG,2
Đúng á,2
đúng,2
đúng 100%,2
Đúng!!!!!,2
@cuongo8899  đúng,2
Đúng cmnr,2
Đúng đúng concặk,2
@mulletlanhat  đúng mò,2
Đúng,2
chuẩn b ơi,2
"Thầy này chắc vừa bị bồ bỏ hay vợ"" bỏ đói ""đêm qua nên quạu với sinh viên như thế",2
hơn 3 phút rồi :>,1
Thầy ms có tí men hay sao í,1
Nói câu rất hay,2
hảo hán ;0,2
Thầy giáo pua đáng puá,0
Nên gọi là thầy hay thằ..ng đây?,0
học gdcd 6 nào thầy,1
Học online nhiều khó khăn lắm!,2
Năm lớp 2 cô mình hay cho xem ytb hoặc làm việc riêng lúc rảnh hoặc thi xong,2
